SourceNodeID;TargetNodeID;PathLength;Path
1;5;892.57;1->5
1;10;3116.42;1->5->10
1;15;4990.59;1->5->10->15
1;20;7587.63;1->5->10->15->20
5;10;2223.85;5->10
5;15;4098.01;5->10->15
5;20;6695.06;5->10->15->20
10;15;1874.17;10->15
10;20;4471.21;10->15->20
15;20;2597.05;15->20
